seed,tol,policy,initial_belief,final_error,tail_error_mean,tail_coverage_mean,reference_rejected_total
0,0.0,gated,0.34554764803376686,0.6544523519662331,0.6544523519662331,0.5,80
0,0.0,accept_all,0.34554764803376686,0.0,0.39267141117973986,1.0,0
0,0.0,reference_only,0.34554764803376686,0.0,0.0,0.5,0
0,0.01,gated,0.34554764803376686,0.6544523519662331,0.6544523519662331,0.5,80
0,0.01,accept_all,0.34554764803376686,0.0,0.39267141117973986,1.0,0
0,0.01,reference_only,0.34554764803376686,0.0,0.0,0.5,0
0,0.024,gated,0.34554764803376686,0.6544523519662331,0.6544523519662331,0.5,80
0,0.024,accept_all,0.34554764803376686,0.0,0.39267141117973986,1.0,0
0,0.024,reference_only,0.34554764803376686,0.0,0.0,0.5,0
0,0.026,gated,0.34554764803376686,0.6544523519662331,0.6544523519662331,0.5,80
0,0.026,accept_all,0.34554764803376686,0.0,0.39267141117973986,1.0,0
0,0.026,reference_only,0.34554764803376686,0.0,0.0,0.5,0
0,0.05,gated,0.34554764803376686,0.6544523519662331,0.6544523519662331,0.5,80
0,0.05,accept_all,0.34554764803376686,0.0,0.39267141117973986,1.0,0
0,0.05,reference_only,0.34554764803376686,0.0,0.0,0.5,0
0,0.11,gated,0.34554764803376686,0.6544523519662331,0.6544523519662331,0.5,80
0,0.11,accept_all,0.34554764803376686,0.0,0.39267141117973986,1.0,0
0,0.11,reference_only,0.34554764803376686,0.0,0.0,0.5,0
0,0.25,gated,0.34554764803376686,0.6544523519662331,0.6544523519662331,0.5,80
0,0.25,accept_all,0.34554764803376686,0.0,0.39267141117973986,1.0,0
0,0.25,reference_only,0.34554764803376686,0.0,0.0,0.5,0
0,1.0,gated,0.34554764803376686,0.0,0.39267141117973986,1.0,0
0,1.0,accept_all,0.34554764803376686,0.0,0.39267141117973986,1.0,0
0,1.0,reference_only,0.34554764803376686,0.0,0.0,0.5,0
1,0.0,gated,0.09702748543934044,0.9029725145606595,0.9029725145606594,0.5,80
1,0.0,accept_all,0.09702748543934044,0.0,0.40633763155229674,1.0,0
1,0.0,reference_only,0.09702748543934044,0.0,0.0,0.5,0
1,0.01,gated,0.09702748543934044,0.9029725145606595,0.9029725145606594,0.5,80
1,0.01,accept_all,0.09702748543934044,0.0,0.40633763155229674,1.0,0
1,0.01,reference_only,0.09702748543934044,0.0,0.0,0.5,0
1,0.024,gated,0.09702748543934044,0.9029725145606595,0.9029725145606594,0.5,80
1,0.024,accept_all,0.09702748543934044,0.0,0.40633763155229674,1.0,0
1,0.024,reference_only,0.09702748543934044,0.0,0.0,0.5,0
1,0.026,gated,0.09702748543934044,0.9029725145606595,0.9029725145606594,0.5,80
1,0.026,accept_all,0.09702748543934044,0.0,0.40633763155229674,1.0,0
1,0.026,reference_only,0.09702748543934044,0.0,0.0,0.5,0
1,0.05,gated,0.09702748543934044,0.9029725145606595,0.9029725145606594,0.5,80
1,0.05,accept_all,0.09702748543934044,0.0,0.40633763155229674,1.0,0
1,0.05,reference_only,0.09702748543934044,0.0,0.0,0.5,0
1,0.11,gated,0.09702748543934044,0.9029725145606595,0.9029725145606594,0.5,80
1,0.11,accept_all,0.09702748543934044,0.0,0.40633763155229674,1.0,0
1,0.11,reference_only,0.09702748543934044,0.0,0.0,0.5,0
1,0.25,gated,0.09702748543934044,0.9029725145606595,0.9029725145606594,0.5,80
1,0.25,accept_all,0.09702748543934044,0.0,0.40633763155229674,1.0,0
1,0.25,reference_only,0.09702748543934044,0.0,0.0,0.5,0
1,1.0,gated,0.09702748543934044,0.0,0.40633763155229674,1.0,0
1,1.0,accept_all,0.09702748543934044,0.0,0.40633763155229674,1.0,0
1,1.0,reference_only,0.09702748543934044,0.0,0.0,0.5,0
2,0.0,gated,0.3846119951612373,0.6153880048387628,0.6153880048387628,0.5,80
2,0.0,accept_all,0.3846119951612373,0.0,0.4000022031451958,1.0,0
2,0.0,reference_only,0.3846119951612373,0.0,0.0,0.5,0
2,0.01,gated,0.3846119951612373,0.6153880048387628,0.6153880048387628,0.5,80
2,0.01,accept_all,0.3846119951612373,0.0,0.4000022031451958,1.0,0
2,0.01,reference_only,0.3846119951612373,0.0,0.0,0.5,0
2,0.024,gated,0.3846119951612373,0.6153880048387628,0.6153880048387628,0.5,80
2,0.024,accept_all,0.3846119951612373,0.0,0.4000022031451958,1.0,0
2,0.024,reference_only,0.3846119951612373,0.0,0.0,0.5,0
2,0.026,gated,0.3846119951612373,0.6153880048387628,0.6153880048387628,0.5,80
2,0.026,accept_all,0.3846119951612373,0.0,0.4000022031451958,1.0,0
2,0.026,reference_only,0.3846119951612373,0.0,0.0,0.5,0
2,0.05,gated,0.3846119951612373,0.6153880048387628,0.6153880048387628,0.5,80
2,0.05,accept_all,0.3846119951612373,0.0,0.4000022031451958,1.0,0
2,0.05,reference_only,0.3846119951612373,0.0,0.0,0.5,0
2,0.11,gated,0.3846119951612373,0.6153880048387628,0.6153880048387628,0.5,80
2,0.11,accept_all,0.3846119951612373,0.0,0.4000022031451958,1.0,0
2,0.11,reference_only,0.3846119951612373,0.0,0.0,0.5,0
2,0.25,gated,0.3846119951612373,0.6153880048387628,0.6153880048387628,0.5,80
2,0.25,accept_all,0.3846119951612373,0.0,0.4000022031451958,1.0,0
2,0.25,reference_only,0.3846119951612373,0.0,0.0,0.5,0
2,1.0,gated,0.3846119951612373,0.0,0.4000022031451958,1.0,0
2,1.0,accept_all,0.3846119951612373,0.0,0.4000022031451958,1.0,0
2,1.0,reference_only,0.3846119951612373,0.0,0.0,0.5,0
3,0.0,gated,0.133287619482162,0.866712380517838,0.866712380517838,0.5,80
3,0.0,accept_all,0.133287619482162,0.0,0.5200274283107028,1.0,0
3,0.0,reference_only,0.133287619482162,0.0,0.0,0.5,0
3,0.01,gated,0.133287619482162,0.866712380517838,0.866712380517838,0.5,80
3,0.01,accept_all,0.133287619482162,0.0,0.5200274283107028,1.0,0
3,0.01,reference_only,0.133287619482162,0.0,0.0,0.5,0
3,0.024,gated,0.133287619482162,0.866712380517838,0.866712380517838,0.5,80
3,0.024,accept_all,0.133287619482162,0.0,0.5200274283107028,1.0,0
3,0.024,reference_only,0.133287619482162,0.0,0.0,0.5,0
3,0.026,gated,0.133287619482162,0.866712380517838,0.866712380517838,0.5,80
3,0.026,accept_all,0.133287619482162,0.0,0.5200274283107028,1.0,0
3,0.026,reference_only,0.133287619482162,0.0,0.0,0.5,0
3,0.05,gated,0.133287619482162,0.866712380517838,0.866712380517838,0.5,80
3,0.05,accept_all,0.133287619482162,0.0,0.5200274283107028,1.0,0
3,0.05,reference_only,0.133287619482162,0.0,0.0,0.5,0
