fixture,seed,policy,tol,step,initial_belief,reference,belief,state_delta,accepted_agreement,all_input_agreement,coverage,reference_error,reference_acceptance,rejected_total,reference_rejected_total
bridge,-1,reference_only,1.0,80,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,39,0
drift_away,-1,gated,0.0,80,0.4,1.0,0.4,0.0,,0.5000670925255806,0.0,0.6,0.0,160,80
drift_away,-1,accept_all,0.0,80,0.4,1.0,1.0,0.0,0.00013418505116102875,0.00013418505116102875,1.0,0.0,1.0,0,0
drift_away,-1,reference_only,0.0,80,0.4,1.0,1.0,0.0,1.0,0.5000670925255806,0.5,0.0,1.0,80,0
drift_away,-1,gated,0.01,80,0.4,1.0,0.4,0.0,,0.5000670925255806,0.0,0.6,0.0,160,80
drift_away,-1,accept_all,0.01,80,0.4,1.0,1.0,0.0,0.00013418505116102875,0.00013418505116102875,1.0,0.0,1.0,0,0
drift_away,-1,reference_only,0.01,80,0.4,1.0,1.0,0.0,1.0,0.5000670925255806,0.5,0.0,1.0,80,0
drift_away,-1,gated,0.024,80,0.4,1.0,0.4,0.0,,0.5000670925255806,0.0,0.6,0.0,160,80
drift_away,-1,accept_all,0.024,80,0.4,1.0,1.0,0.0,0.00013418505116102875,0.00013418505116102875,1.0,0.0,1.0,0,0
drift_away,-1,reference_only,0.024,80,0.4,1.0,1.0,0.0,1.0,0.5000670925255806,0.5,0.0,1.0,80,0
drift_away,-1,gated,0.026,80,0.4,1.0,0.4,0.0,,0.5000670925255806,0.0,0.6,0.0,160,80
drift_away,-1,accept_all,0.026,80,0.4,1.0,1.0,0.0,0.00013418505116102875,0.00013418505116102875,1.0,0.0,1.0,0,0
drift_away,-1,reference_only,0.026,80,0.4,1.0,1.0,0.0,1.0,0.5000670925255806,0.5,0.0,1.0,80,0
drift_away,-1,gated,0.05,80,0.4,1.0,0.00013418505116100476,1.4112365022630547e-05,0.9999858876349774,0.5000600363430692,0.5,0.999865814948839,0.0,80,80
drift_away,-1,accept_all,0.05,80,0.4,1.0,1.0,0.0,0.00013418505116102875,0.00013418505116102875,1.0,0.0,1.0,0,0
drift_away,-1,reference_only,0.05,80,0.4,1.0,1.0,0.0,1.0,0.5000670925255806,0.5,0.0,1.0,80,0
drift_away,-1,gated,0.11,80,0.4,1.0,0.00013418505116100476,1.4112365022630547e-05,0.9999858876349774,0.5000600363430692,0.5,0.999865814948839,0.0,80,80
drift_away,-1,accept_all,0.11,80,0.4,1.0,1.0,0.0,0.00013418505116102875,0.00013418505116102875,1.0,0.0,1.0,0,0
drift_away,-1,reference_only,0.11,80,0.4,1.0,1.0,0.0,1.0,0.5000670925255806,0.5,0.0,1.0,80,0
drift_away,-1,gated,0.25,80,0.4,1.0,0.00013418505116100476,1.4112365022630547e-05,0.9999858876349774,0.5000600363430692,0.5,0.999865814948839,0.0,80,80
drift_away,-1,accept_all,0.25,80,0.4,1.0,1.0,0.0,0.00013418505116102875,0.00013418505116102875,1.0,0.0,1.0,0,0
drift_away,-1,reference_only,0.25,80,0.4,1.0,1.0,0.0,1.0,0.5000670925255806,0.5,0.0,1.0,80,0
drift_away,-1,gated,1.0,80,0.4,1.0,1.0,0.0,0.00013418505116102875,0.00013418505116102875,1.0,0.0,1.0,0,0
drift_away,-1,accept_all,1.0,80,0.4,1.0,1.0,0.0,0.00013418505116102875,0.00013418505116102875,1.0,0.0,1.0,0,0
drift_away,-1,reference_only,1.0,80,0.4,1.0,1.0,0.0,1.0,0.5000670925255806,0.5,0.0,1.0,80,0
oscillation,-1,gated,0.0,80,0.5,0.5,0.5,0.0,,0.95,0.0,0.0,,80,0
oscillation,-1,accept_all,0.0,80,0.5,0.5,0.55,0.10000000000000003,0.8999999999999999,0.8999999999999999,1.0,0.050000000000000044,,0,0
oscillation,-1,reference_only,0.0,80,0.5,0.5,0.5,0.0,,0.95,0.0,0.0,,80,0
oscillation,-1,gated,0.01,80,0.5,0.5,0.5,0.0,,0.95,0.0,0.0,,80,0
oscillation,-1,accept_all,0.01,80,0.5,0.5,0.55,0.10000000000000003,0.8999999999999999,0.8999999999999999,1.0,0.050000000000000044,,0,0
oscillation,-1,reference_only,0.01,80,0.5,0.5,0.5,0.0,,0.95,0.0,0.0,,80,0
oscillation,-1,gated,0.024,80,0.5,0.5,0.5,0.0,,0.95,0.0,0.0,,80,0
oscillation,-1,accept_all,0.024,80,0.5,0.5,0.55,0.10000000000000003,0.8999999999999999,0.8999999999999999,1.0,0.050000000000000044,,0,0
oscillation,-1,reference_only,0.024,80,0.5,0.5,0.5,0.0,,0.95,0.0,0.0,,80,0
oscillation,-1,gated,0.026,80,0.5,0.5,0.5,0.0,,0.95,0.0,0.0,,80,0
oscillation,-1,accept_all,0.026,80,0.5,0.5,0.55,0.10000000000000003,0.8999999999999999,0.8999999999999999,1.0,0.050000000000000044,,0,0
oscillation,-1,reference_only,0.026,80,0.5,0.5,0.5,0.0,,0.95,0.0,0.0,,80,0
oscillation,-1,gated,0.05,80,0.5,0.5,0.45,0.0,,0.8999999999999999,0.0,0.04999999999999999,,40,0
oscillation,-1,accept_all,0.05,80,0.5,0.5,0.55,0.10000000000000003,0.8999999999999999,0.8999999999999999,1.0,0.050000000000000044,,0,0
oscillation,-1,reference_only,0.05,80,0.5,0.5,0.5,0.0,,0.95,0.0,0.0,,80,0
oscillation,-1,gated,0.11,80,0.5,0.5,0.55,0.10000000000000003,0.8999999999999999,0.8999999999999999,1.0,0.050000000000000044,,0,0
