family,seed,phase,probe,returned_belief,passed
descending_bridge,17,7,0,0.0,True
descending_bridge,17,7,0.0125,0.0,True
descending_bridge,17,7,0.025,0.0,True
descending_bridge,17,8,0,0.0,True
descending_bridge,17,8,0.0125,0.0,True
descending_bridge,17,8,0.025,0.0,True
descending_bridge,17,9,0,0.0,True
descending_bridge,17,9,0.0125,0.0,True
descending_bridge,17,9,0.025,0.0,True
descending_bridge,17,10,0,0.0,True
descending_bridge,17,10,0.0125,0.0,True
descending_bridge,17,10,0.025,0.0,True
descending_bridge,17,11,0,0.0,True
descending_bridge,17,11,0.0125,0.0,True
descending_bridge,17,11,0.025,0.0,True
descending_bridge,17,12,0,0.0,True
descending_bridge,17,12,0.0125,0.0,True
descending_bridge,17,12,0.025,0.0,True
descending_bridge,17,13,0,0.0,True
descending_bridge,17,13,0.0125,0.0,True
descending_bridge,17,13,0.025,0.0,True
descending_bridge,17,14,0,0.0,True
descending_bridge,17,14,0.0125,0.0,True
descending_bridge,17,14,0.025,0.0,True
descending_bridge,17,15,0,0.0,True
descending_bridge,17,15,0.0125,0.0,True
descending_bridge,17,15,0.025,0.0,True
descending_bridge,17,16,0,0.0,True
descending_bridge,17,16,0.0125,0.0,True
descending_bridge,17,16,0.025,0.0,True
descending_bridge,17,17,0,0.0,True
descending_bridge,17,17,0.0125,0.0,True
descending_bridge,17,17,0.025,0.0,True
descending_bridge,17,18,0,0.0,True
descending_bridge,17,18,0.0125,0.0,True
descending_bridge,17,18,0.025,0.0,True
descending_bridge,17,19,0,0.0,True
descending_bridge,17,19,0.0125,0.0,True
descending_bridge,17,19,0.025,0.0,True
descending_bridge,17,20,0,0.0,True
descending_bridge,17,20,0.0125,0.0,True
descending_bridge,17,20,0.025,0.0,True
descending_bridge,17,21,0,0.0,True
descending_bridge,17,21,0.0125,0.0,True
descending_bridge,17,21,0.025,0.0,True
descending_bridge,17,22,0,0.0,True
descending_bridge,17,22,0.0125,0.0,True
descending_bridge,17,22,0.025,0.0,True
descending_bridge,17,23,0,0.0,True
descending_bridge,17,23,0.0125,0.0,True
descending_bridge,17,23,0.025,0.0,True
descending_bridge,17,24,0,0.0,True
descending_bridge,17,24,0.0125,0.0,True
descending_bridge,17,24,0.025,0.0,True
descending_bridge,17,25,0,0.0,True
descending_bridge,17,25,0.0125,0.0,True
descending_bridge,17,25,0.025,0.0,True
descending_bridge,17,26,0,0.0,True
descending_bridge,17,26,0.0125,0.0,True
descending_bridge,17,26,0.025,0.0,True
descending_bridge,17,27,0,0.0,True
descending_bridge,17,27,0.0125,0.0,True
descending_bridge,17,27,0.025,0.0,True
descending_bridge,17,28,0,0.0,True
descending_bridge,17,28,0.0125,0.0,True
descending_bridge,17,28,0.025,0.0,True
descending_bridge,17,29,0,0.0,True
descending_bridge,17,29,0.0125,0.0,True
descending_bridge,17,29,0.025,0.0,True
descending_bridge,17,30,0,0.0,True
descending_bridge,17,30,0.0125,0.0,True
descending_bridge,17,30,0.025,0.0,True
descending_bridge,17,31,0,0.0,True
descending_bridge,17,31,0.0125,0.0,True
descending_bridge,17,31,0.025,0.0,True
descending_bridge,17,32,0,0.0,True
descending_bridge,17,32,0.0125,0.0,True
descending_bridge,17,32,0.025,0.0,True
descending_bridge,17,33,0,0.0,True
descending_bridge,17,33,0.0125,0.0,True
descending_bridge,17,33,0.025,0.0,True
descending_bridge,17,34,0,0.0,True
descending_bridge,17,34,0.0125,0.0,True
descending_bridge,17,34,0.025,0.0,True
descending_bridge,17,35,0,0.0,True
descending_bridge,17,35,0.0125,0.0,True
descending_bridge,17,35,0.025,0.0,True
descending_bridge,17,36,0,0.0,True
descending_bridge,17,36,0.0125,0.0,True
descending_bridge,17,36,0.025,0.0,True
descending_bridge,17,37,0,0.0,True
descending_bridge,17,37,0.0125,0.0,True
descending_bridge,17,37,0.025,0.0,True
descending_bridge,17,38,0,0.0,True
descending_bridge,17,38,0.0125,0.0,True
descending_bridge,17,38,0.025,0.0,True
descending_bridge,17,39,0,0.0,True
descending_bridge,17,39,0.0125,0.0,True
descending_bridge,17,39,0.025,0.0,True
descending_bridge,29,0,0,0.0,True
descending_bridge,29,0,0.0125,0.0,True
descending_bridge,29,0,0.025,0.0,True
descending_bridge,29,1,0,0.0,True
descending_bridge,29,1,0.0125,0.0,True
descending_bridge,29,1,0.025,0.0,True
descending_bridge,29,2,0,0.0,True
descending_bridge,29,2,0.0125,0.0,True
descending_bridge,29,2,0.025,0.0,True
descending_bridge,29,3,0,0.0,True
descending_bridge,29,3,0.0125,0.0,True
descending_bridge,29,3,0.025,0.0,True
descending_bridge,29,4,0,0.0,True
descending_bridge,29,4,0.0125,0.0,True
descending_bridge,29,4,0.025,0.0,True
descending_bridge,29,5,0,0.0,True
descending_bridge,29,5,0.0125,0.0,True
descending_bridge,29,5,0.025,0.0,True
descending_bridge,29,6,0,0.0,True
descending_bridge,29,6,0.0125,0.0,True
descending_bridge,29,6,0.025,0.0,True
descending_bridge,29,7,0,0.0,True
descending_bridge,29,7,0.0125,0.0,True
descending_bridge,29,7,0.025,0.0,True
descending_bridge,29,8,0,0.0,True
descending_bridge,29,8,0.0125,0.0,True
descending_bridge,29,8,0.025,0.0,True
descending_bridge,29,9,0,0.0,True
descending_bridge,29,9,0.0125,0.0,True
descending_bridge,29,9,0.025,0.0,True
descending_bridge,29,10,0,0.0,True
descending_bridge,29,10,0.0125,0.0,True
descending_bridge,29,10,0.025,0.0,True
descending_bridge,29,11,0,0.0,True
descending_bridge,29,11,0.0125,0.0,True
descending_bridge,29,11,0.025,0.0,True
descending_bridge,29,12,0,0.0,True
descending_bridge,29,12,0.0125,0.0,True
descending_bridge,29,12,0.025,0.0,True
descending_bridge,29,13,0,0.0,True
descending_bridge,29,13,0.0125,0.0,True
descending_bridge,29,13,0.025,0.0,True
descending_bridge,29,14,0,0.0,True
descending_bridge,29,14,0.0125,0.0,True
descending_bridge,29,14,0.025,0.0,True
descending_bridge,29,15,0,0.0,True
descending_bridge,29,15,0.0125,0.0,True
descending_bridge,29,15,0.025,0.0,True
descending_bridge,29,16,0,0.0,True
descending_bridge,29,16,0.0125,0.0,True
descending_bridge,29,16,0.025,0.0,True
descending_bridge,29,17,0,0.0,True
descending_bridge,29,17,0.0125,0.0,True
descending_bridge,29,17,0.025,0.0,True
descending_bridge,29,18,0,0.0,True
descending_bridge,29,18,0.0125,0.0,True
descending_bridge,29,18,0.025,0.0,True
descending_bridge,29,19,0,0.0,True
descending_bridge,29,19,0.0125,0.0,True
descending_bridge,29,19,0.025,0.0,True
descending_bridge,29,20,0,0.0,True
descending_bridge,29,20,0.0125,0.0,True
descending_bridge,29,20,0.025,0.0,True
descending_bridge,29,21,0,0.0,True
descending_bridge,29,21,0.0125,0.0,True
descending_bridge,29,21,0.025,0.0,True
descending_bridge,29,22,0,0.0,True
descending_bridge,29,22,0.0125,0.0,True
descending_bridge,29,22,0.025,0.0,True
descending_bridge,29,23,0,0.0,True
descending_bridge,29,23,0.0125,0.0,True
descending_bridge,29,23,0.025,0.0,True
descending_bridge,29,24,0,0.0,True
descending_bridge,29,24,0.0125,0.0,True
descending_bridge,29,24,0.025,0.0,True
descending_bridge,29,25,0,0.0,True
descending_bridge,29,25,0.0125,0.0,True
descending_bridge,29,25,0.025,0.0,True
descending_bridge,29,26,0,0.0,True
descending_bridge,29,26,0.0125,0.0,True
descending_bridge,29,26,0.025,0.0,True
descending_bridge,29,27,0,0.0,True
descending_bridge,29,27,0.0125,0.0,True
descending_bridge,29,27,0.025,0.0,True
descending_bridge,29,28,0,0.0,True
descending_bridge,29,28,0.0125,0.0,True
descending_bridge,29,28,0.025,0.0,True
descending_bridge,29,29,0,0.0,True
descending_bridge,29,29,0.0125,0.0,True
descending_bridge,29,29,0.025,0.0,True
descending_bridge,29,30,0,0.0,True
descending_bridge,29,30,0.0125,0.0,True
descending_bridge,29,30,0.025,0.0,True
descending_bridge,29,31,0,0.0,True
descending_bridge,29,31,0.0125,0.0,True
descending_bridge,29,31,0.025,0.0,True
descending_bridge,29,32,0,0.0,True
descending_bridge,29,32,0.0125,0.0,True
descending_bridge,29,32,0.025,0.0,True
descending_bridge,29,33,0,0.0,True
descending_bridge,29,33,0.0125,0.0,True
descending_bridge,29,33,0.025,0.0,True
descending_bridge,29,34,0,0.0,True
descending_bridge,29,34,0.0125,0.0,True
descending_bridge,29,34,0.025,0.0,True
descending_bridge,29,35,0,0.0,True
descending_bridge,29,35,0.0125,0.0,True
descending_bridge,29,35,0.025,0.0,True
descending_bridge,29,36,0,0.0,True
descending_bridge,29,36,0.0125,0.0,True
descending_bridge,29,36,0.025,0.0,True
descending_bridge,29,37,0,0.0,True
descending_bridge,29,37,0.0125,0.0,True
descending_bridge,29,37,0.025,0.0,True
descending_bridge,29,38,0,0.0,True
descending_bridge,29,38,0.0125,0.0,True
descending_bridge,29,38,0.025,0.0,True
descending_bridge,29,39,0,0.0,True
descending_bridge,29,39,0.0125,0.0,True
descending_bridge,29,39,0.025,0.0,True
descending_bridge,41,0,0,0.0,True
descending_bridge,41,0,0.0125,0.0,True
descending_bridge,41,0,0.025,0.0,True
descending_bridge,41,1,0,0.0,True
descending_bridge,41,1,0.0125,0.0,True
descending_bridge,41,1,0.025,0.0,True
descending_bridge,41,2,0,0.0,True
descending_bridge,41,2,0.0125,0.0,True
descending_bridge,41,2,0.025,0.0,True
descending_bridge,41,3,0,0.0,True
descending_bridge,41,3,0.0125,0.0,True
descending_bridge,41,3,0.025,0.0,True
descending_bridge,41,4,0,0.0,True
descending_bridge,41,4,0.0125,0.0,True
descending_bridge,41,4,0.025,0.0,True
descending_bridge,41,5,0,0.0,True
descending_bridge,41,5,0.0125,0.0,True
descending_bridge,41,5,0.025,0.0,True
descending_bridge,41,6,0,0.0,True
descending_bridge,41,6,0.0125,0.0,True
descending_bridge,41,6,0.025,0.0,True
descending_bridge,41,7,0,0.0,True
descending_bridge,41,7,0.0125,0.0,True
descending_bridge,41,7,0.025,0.0,True
descending_bridge,41,8,0,0.0,True
descending_bridge,41,8,0.0125,0.0,True
descending_bridge,41,8,0.025,0.0,True
descending_bridge,41,9,0,0.0,True
descending_bridge,41,9,0.0125,0.0,True
descending_bridge,41,9,0.025,0.0,True
descending_bridge,41,10,0,0.0,True
descending_bridge,41,10,0.0125,0.0,True
descending_bridge,41,10,0.025,0.0,True
descending_bridge,41,11,0,0.0,True
descending_bridge,41,11,0.0125,0.0,True
descending_bridge,41,11,0.025,0.0,True
descending_bridge,41,12,0,0.0,True
descending_bridge,41,12,0.0125,0.0,True
descending_bridge,41,12,0.025,0.0,True
descending_bridge,41,13,0,0.0,True
descending_bridge,41,13,0.0125,0.0,True
descending_bridge,41,13,0.025,0.0,True
descending_bridge,41,14,0,0.0,True
descending_bridge,41,14,0.0125,0.0,True
descending_bridge,41,14,0.025,0.0,True
descending_bridge,41,15,0,0.0,True
descending_bridge,41,15,0.0125,0.0,True
descending_bridge,41,15,0.025,0.0,True
descending_bridge,41,16,0,0.0,True
descending_bridge,41,16,0.0125,0.0,True
descending_bridge,41,16,0.025,0.0,True
descending_bridge,41,17,0,0.0,True
descending_bridge,41,17,0.0125,0.0,True
descending_bridge,41,17,0.025,0.0,True
descending_bridge,41,18,0,0.0,True
