run_id,regime,seed,arm,evidence_strength,condition_id,family,q_nominal,drift_v,order,baseline_steps,attractor_belief,stable_window,local_probe_count,local_probes_passed,D_pre,D_immediate_first,D_immediate_last,D_final,D_post,delta_D,C_pre,C_post,C_post_defined_steps,normal_accepted,normal_rejected,acceptance_rate,rejection_rate,external_delivery_count,bypass_delivery_count,external_update_accepted_count,external_rejected_count,actual_revision_count,qualifying_revision_count,genuine_revision_count,apparent_correction_count,relapse_observed,relapse_rate_if_eligible,relapse_start_step,relapse_confirmation_step,time_to_relapse,time_to_relapse_from_last_injection,persistent_escape,persistent_escape_rate,normal_post_steps,steps_after_last_injection,classification,reference_corruption,reference_avoidance,post_inputs,corrective_offered,contradictory_offered,q_actual,q_old_halfspace,exact_old_count,input_mean,last_input,sequence_sha256,multiset_sha256,D_min,recapture_latency,recapture_slope_net,recapture_slope_active,corrective_before_failure,contradictory_before_failure,corrective_accepted_before_failure,contradictory_accepted_before_failure,C_at_relapse,early_C_mean,early_C_defined_steps,early_C_alarm,alarm_is_prospective,high_C_at_relapse
no_input_qNone_vNone_orderNone_seed7,stationary,7,post_input_dynamics,1.0,no_input_qNone_vNone_orderNone,no_input,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,0,,,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,0,0,0,,,0,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0.0,,,,,,,,,,0,,True,
no_input_qNone_vNone_orderNone_seed17,stationary,17,post_input_dynamics,1.0,no_input_qNone_vNone_orderNone,no_input,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,0,,,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,0,0,0,,,0,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0.0,,,,,,,,,,0,,True,
no_input_qNone_vNone_orderNone_seed29,stationary,29,post_input_dynamics,1.0,no_input_qNone_vNone_orderNone,no_input,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,0,,,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,0,0,0,,,0,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0.0,,,,,,,,,,0,,True,
no_input_qNone_vNone_orderNone_seed41,stationary,41,post_input_dynamics,1.0,no_input_qNone_vNone_orderNone,no_input,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,0,,,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,0,0,0,,,0,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0.0,,,,,,,,,,0,,True,
no_input_qNone_vNone_orderNone_seed53,stationary,53,post_input_dynamics,1.0,no_input_qNone_vNone_orderNone,no_input,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,0,,,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,0,0,0,,,0,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,0.0,,,,,,,,,,0,,True,
noisy_corrective_qNone_vNone_orderNone_seed7,stationary,7,post_input_dynamics,1.0,noisy_corrective_qNone_vNone_orderNone,noisy_corrective,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.024344963688919807,0.014609969125453665,-0.9853900308745464,1.0,0.9772449986133461,20,103,17,0.8583333333333333,0.14166666666666666,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,59,61,0.5083333333333333,0.0,0,0.980512120790301,0.9756550363110802,f103b5b1267b3b3074d3809eb2b0dfdcfd15dcb38d6b3ccad1608da4df816506,eb2c334d6b0611a664c493077e7860ac3535fc20db8c39b2e4d7771bbf043c2f,0.0,,,,,,,,,0.9880419100913096,8,True,True,
noisy_corrective_qNone_vNone_orderNone_seed17,stationary,17,post_input_dynamics,1.0,noisy_corrective_qNone_vNone_orderNone,noisy_corrective,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.02256868261111798,-0.977431317388882,1.0,0.9731773047806925,17,99,21,0.825,0.175,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,52,68,0.5666666666666667,0.0,0,0.9789182599120816,1.0,0b1d167b0b14f44507002bff44b00bb10fe3c14c00e19607be3a39efdccf5a4a,b377d564b88256bbdfae9785dc742f6064b32973ebcef41e6bcb429c5f5a2cf3,0.0,,,,,,,,,0.9772523339297161,7,True,True,
noisy_corrective_qNone_vNone_orderNone_seed29,stationary,29,post_input_dynamics,1.0,noisy_corrective_qNone_vNone_orderNone,noisy_corrective,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.058201043802298735,0.007079446094803393,-0.9929205539051966,1.0,0.9893685066065604,14,94,26,0.7833333333333333,0.21666666666666667,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,50,70,0.5833333333333334,0.0,0,0.9747179103091566,0.9417989561977013,3d743a1d8011ac5456f173fde0800eebc7aa748ce91f2e7ddefd8dd54f817a0d,25b87c51cf8ab581dacf8184d30cf1f6dd3315e7017a6af417436901987aa4c4,0.0,,,,,,,,,0.9794007339962642,9,True,True,
noisy_corrective_qNone_vNone_orderNone_seed41,stationary,41,post_input_dynamics,1.0,noisy_corrective_qNone_vNone_orderNone,noisy_corrective,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.07993052650268129,0.030726308904769562,-0.9692736910952304,1.0,0.981565105770922,16,98,22,0.8166666666666667,0.18333333333333332,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,65,55,0.4583333333333333,0.0,0,0.9822433080217366,0.9200694734973187,e87481d3968424e21939a0015c88cd6acbd5e72035f66a5a08172036eace2c4c,5050d78076fd4ba98a5dfc0f25b66e383f3c1693042df3a61de528bea6734138,0.0,,,,,,,,,0.9896360024116103,9,True,True,
noisy_corrective_qNone_vNone_orderNone_seed53,stationary,53,post_input_dynamics,1.0,noisy_corrective_qNone_vNone_orderNone,noisy_corrective,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.020178197335887015,-0.979821802664113,1.0,0.9864622144553351,16,92,28,0.7666666666666667,0.23333333333333334,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,120,66,54,0.45,0.0,0,0.9826668102652489,1.0,0e0533c97a7d8f4e4e3d46afd5c95d0a1775df01f1474678e3db650fd01cfcf0,e9dc48557ef4fe273a1d218f060e21d4818f4e14f9d57d2955076d787cf62200,0.0,,,,,,,,,0.9845446077329548,6,True,True,
