run_id,family,q_nominal,drift_v,q_actual,classification,D_min,D_final,relapse_start_step,relapse_confirmation_step,time_to_relapse,recapture_latency,recapture_slope_net,recapture_slope_active,corrective_before_failure,contradictory_before_failure,corrective_accepted_before_failure,contradictory_accepted_before_failure
stationary_qNone_vNone_orderNone_seed7,stationary,,,0.5,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
stationary_qNone_vNone_orderNone_seed17,stationary,,,0.5,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
stationary_qNone_vNone_orderNone_seed29,stationary,,,0.5,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
stationary_qNone_vNone_orderNone_seed41,stationary,,,0.5,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
stationary_qNone_vNone_orderNone_seed53,stationary,,,0.5,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
descending_bridge_qNone_vNone_orderNone_seed7,descending_bridge,,,0.9875,E_relapse,0.0,1.0,39,43,39,39,0.02435897435897436,0.024999999999999998,1,77,1,38
descending_bridge_qNone_vNone_orderNone_seed17,descending_bridge,,,0.9875,E_relapse,0.0,1.0,39,43,39,39,0.02435897435897436,0.024999999999999998,1,77,1,38
descending_bridge_qNone_vNone_orderNone_seed29,descending_bridge,,,0.9875,E_relapse,0.0,1.0,39,43,39,39,0.02435897435897436,0.024999999999999998,1,77,1,38
descending_bridge_qNone_vNone_orderNone_seed41,descending_bridge,,,0.9875,E_relapse,0.0,1.0,39,43,39,39,0.02435897435897436,0.024999999999999998,1,77,1,38
descending_bridge_qNone_vNone_orderNone_seed53,descending_bridge,,,0.9875,E_relapse,0.0,1.0,39,43,39,39,0.02435897435897436,0.024999999999999998,1,77,1,38
no_input_qNone_vNone_orderNone_seed7,no_input,,,,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
no_input_qNone_vNone_orderNone_seed17,no_input,,,,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
no_input_qNone_vNone_orderNone_seed29,no_input,,,,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
no_input_qNone_vNone_orderNone_seed41,no_input,,,,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
no_input_qNone_vNone_orderNone_seed53,no_input,,,,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
noisy_corrective_qNone_vNone_orderNone_seed7,noisy_corrective,,,0.5083333333333333,A_genuine_revision_candidate,0.0,0.024344963688919807,,,,,,,,,,
noisy_corrective_qNone_vNone_orderNone_seed17,noisy_corrective,,,0.5666666666666667,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
noisy_corrective_qNone_vNone_orderNone_seed29,noisy_corrective,,,0.5833333333333334,A_genuine_revision_candidate,0.0,0.058201043802298735,,,,,,,,,,
noisy_corrective_qNone_vNone_orderNone_seed41,noisy_corrective,,,0.4583333333333333,A_genuine_revision_candidate,0.0,0.07993052650268129,,,,,,,,,,
noisy_corrective_qNone_vNone_orderNone_seed53,noisy_corrective,,,0.45,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0_vNone_orderNone_seed7,abrupt_return,0,,0.0,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0_vNone_orderNone_seed17,abrupt_return,0,,0.0,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0_vNone_orderNone_seed29,abrupt_return,0,,0.0,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0_vNone_orderNone_seed41,abrupt_return,0,,0.0,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0_vNone_orderNone_seed53,abrupt_return,0,,0.0,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.1_vNone_orderNone_seed7,abrupt_return,0.1,,0.1,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.1_vNone_orderNone_seed17,abrupt_return,0.1,,0.1,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.1_vNone_orderNone_seed29,abrupt_return,0.1,,0.1,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.1_vNone_orderNone_seed41,abrupt_return,0.1,,0.1,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.1_vNone_orderNone_seed53,abrupt_return,0.1,,0.1,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.25_vNone_orderNone_seed7,abrupt_return,0.25,,0.25,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.25_vNone_orderNone_seed17,abrupt_return,0.25,,0.25,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.25_vNone_orderNone_seed29,abrupt_return,0.25,,0.25,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
abrupt_return_q0.25_vNone_orderNone_seed41,abrupt_return,0.25,,0.25,A_genuine_revision_candidate,0.0,0.0,,,,,,,,,,
