graph_id,node_id,value,value_hex,component,distance_from1
witness_augmented_n40_tol0.05,30,0.5,0x1.0000000000000p-1,0,11
witness_augmented_n40_tol0.05,31,0.5000000000000007,0x1.0000000000006p-1,0,10
witness_augmented_n40_tol0.05,32,0.525,0x1.0cccccccccccdp-1,0,10
witness_augmented_n40_tol0.05,33,0.55,0x1.199999999999ap-1,0,10
witness_augmented_n40_tol0.05,34,0.5500000000000006,0x1.199999999999fp-1,0,9
witness_augmented_n40_tol0.05,35,0.575,0x1.2666666666666p-1,0,9
witness_augmented_n40_tol0.05,36,0.6,0x1.3333333333333p-1,0,9
witness_augmented_n40_tol0.05,37,0.6000000000000005,0x1.3333333333338p-1,0,8
witness_augmented_n40_tol0.05,38,0.625,0x1.4000000000000p-1,0,8
witness_augmented_n40_tol0.05,39,0.65,0x1.4cccccccccccdp-1,0,8
witness_augmented_n40_tol0.05,40,0.6500000000000005,0x1.4ccccccccccd1p-1,0,7
witness_augmented_n40_tol0.05,41,0.675,0x1.599999999999ap-1,0,7
witness_augmented_n40_tol0.05,42,0.7,0x1.6666666666666p-1,0,7
witness_augmented_n40_tol0.05,43,0.7000000000000004,0x1.666666666666ap-1,0,6
witness_augmented_n40_tol0.05,44,0.725,0x1.7333333333333p-1,0,6
witness_augmented_n40_tol0.05,45,0.75,0x1.8000000000000p-1,0,6
witness_augmented_n40_tol0.05,46,0.7500000000000003,0x1.8000000000003p-1,0,5
witness_augmented_n40_tol0.05,47,0.775,0x1.8cccccccccccdp-1,0,5
witness_augmented_n40_tol0.05,48,0.8,0x1.999999999999ap-1,0,5
witness_augmented_n40_tol0.05,49,0.8000000000000003,0x1.999999999999cp-1,0,4
witness_augmented_n40_tol0.05,50,0.825,0x1.a666666666666p-1,0,4
witness_augmented_n40_tol0.05,51,0.85,0x1.b333333333333p-1,0,4
witness_augmented_n40_tol0.05,52,0.8500000000000002,0x1.b333333333335p-1,0,3
witness_augmented_n40_tol0.05,53,0.875,0x1.c000000000000p-1,0,3
witness_augmented_n40_tol0.05,54,0.9,0x1.ccccccccccccdp-1,0,3
witness_augmented_n40_tol0.05,55,0.9000000000000001,0x1.ccccccccccccep-1,0,2
witness_augmented_n40_tol0.05,56,0.925,0x1.d99999999999ap-1,0,2
witness_augmented_n40_tol0.05,57,0.95,0x1.e666666666666p-1,0,2
witness_augmented_n40_tol0.05,58,0.9500000000000001,0x1.e666666666667p-1,0,1
witness_augmented_n40_tol0.05,59,0.975,0x1.f333333333333p-1,0,1
witness_augmented_n40_tol0.05,60,1.0,0x1.0000000000000p+0,0,0
