graph_id,source,target,source_value,target_value,rounded_gap,tol
uniform_n40_tol0.05,6,7,0.15,0.175,0.024999999999999994,0.05
uniform_n40_tol0.05,7,8,0.175,0.2,0.025000000000000022,0.05
uniform_n40_tol0.05,8,9,0.2,0.225,0.024999999999999994,0.05
uniform_n40_tol0.05,8,10,0.2,0.25,0.04999999999999999,0.05
uniform_n40_tol0.05,9,10,0.225,0.25,0.024999999999999994,0.05
uniform_n40_tol0.05,10,11,0.25,0.275,0.025000000000000022,0.05
uniform_n40_tol0.05,10,12,0.25,0.3,0.04999999999999999,0.05
uniform_n40_tol0.05,11,12,0.275,0.3,0.024999999999999967,0.05
uniform_n40_tol0.05,11,13,0.275,0.325,0.04999999999999999,0.05
uniform_n40_tol0.05,12,13,0.3,0.325,0.025000000000000022,0.05
uniform_n40_tol0.05,12,14,0.3,0.35,0.04999999999999999,0.05
uniform_n40_tol0.05,13,14,0.325,0.35,0.024999999999999967,0.05
uniform_n40_tol0.05,13,15,0.325,0.375,0.04999999999999999,0.05
uniform_n40_tol0.05,14,15,0.35,0.375,0.025000000000000022,0.05
uniform_n40_tol0.05,15,16,0.375,0.4,0.025000000000000022,0.05
uniform_n40_tol0.05,15,17,0.375,0.425,0.04999999999999999,0.05
uniform_n40_tol0.05,16,17,0.4,0.425,0.024999999999999967,0.05
uniform_n40_tol0.05,16,18,0.4,0.45,0.04999999999999999,0.05
uniform_n40_tol0.05,17,18,0.425,0.45,0.025000000000000022,0.05
uniform_n40_tol0.05,17,19,0.425,0.475,0.04999999999999999,0.05
uniform_n40_tol0.05,18,19,0.45,0.475,0.024999999999999967,0.05
uniform_n40_tol0.05,18,20,0.45,0.5,0.04999999999999999,0.05
