run_id,regime,seed,arm,evidence_strength,condition_id,family,delta,noise,order,baseline_steps,attractor_belief,stable_window,local_probe_count,local_probes_passed,D_pre,D_immediate_first,D_immediate_last,D_final,D_post,delta_D,C_pre,C_post,C_post_defined_steps,normal_accepted,normal_rejected,acceptance_rate,rejection_rate,external_delivery_count,bypass_delivery_count,external_update_accepted_count,external_rejected_count,actual_revision_count,qualifying_revision_count,genuine_revision_count,apparent_correction_count,relapse_observed,relapse_rate_if_eligible,relapse_start_step,relapse_confirmation_step,time_to_relapse,time_to_relapse_from_last_injection,persistent_escape,persistent_escape_rate,normal_post_steps,steps_after_last_injection,classification,reference_corruption,reference_avoidance,path_length,L_actual,L_min_real,L_min_binary64,accepted_step_count,rejected_step_count,accepted_moves,first_rejection_step,first_rejection_gap,disconnected_gap_size,max_rejection_excess,TV,TV_input_only,actual_state_TV,requested_max_gap,first_requested_gap_step,requested_disconnected_edges,all_requested_edges_admissible,first_target_step,target_reached,target_reached_final,final_belief,bridge_completion,unordered_graph_path_exists,unordered_shortest_path_length,target_in_offered_values,sequence_sha256,multiset_sha256,empty_hold_steps
delta_0.0499_seed7,stationary,7,admissible_bridge,1.0,delta_0.0499,step_size,0.0499,,,11,0.0,10,3,True,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0,21,0,1.0,0.0,1,1,1,0,1,1,0,0,True,1,20,24,20,20,False,0,120,120,E_relapse,not_available,not_available,21,21,20,21,21,0,21,,,,,1.0,0.9501,1.0,0.049900000000000055,,0,True,21,True,True,0.0,True,True,21,True,8b7be00c8699dfb7cb761334d89726fcb49f9b11ffcf7e6026d8918675fcc92b,eef2ae9872598f9407e8cced30f27e881fe0623994bf5824dd733d8f033de88a,99
delta_0.05_seed7,stationary,7,admissible_bridge,1.0,delta_0.05,step_size,0.05,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,20,0.0,1.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,20,20,20,21,0,20,0,1,0.050000000000000044,1.0,0.95,1.0,0.95,0.0,0.050000000000000044,1,12,False,,False,False,1.0,False,False,,True,11fd1ae40298f9166f09d1de4e233c897a980aec55b0e5936472c6b4b71c1e73,8ae102238cf6ff42c1ff27c5ab7003b3917ea314955d959caf9fd0ffdf4ded92,100
delta_0.0501_seed7,stationary,7,admissible_bridge,1.0,delta_0.0501,step_size,0.0501,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,20,0.0,1.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,20,20,20,21,0,20,0,1,0.05010000000000003,1.0,0.95,1.0,0.9499,0.0,0.05010000000000003,1,19,False,,False,False,1.0,False,False,,True,dbbb12d132a7651f65b04c1111e55275d336d07aafb958e70bec7d3986e55842,11504f0846779ade59851b8d8044270c8e715ee57e86faba8a3b62489aad8b3d,100
delta_0.051_seed7,stationary,7,admissible_bridge,1.0,delta_0.051,step_size,0.051,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,20,0.0,1.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,20,20,20,21,0,20,0,1,0.051000000000000045,1.0,0.95,1.0,0.949,0.0,0.051000000000000045,1,19,False,,False,False,1.0,False,False,,True,24b34eb946f965a6014f4b8bb30e3da674d1e14fb1bb37f9e0eae4cd11b729b4,427b7b660b2d27e29ac384701b33de05c3405b6262cf88fbfb792778060b0abe,100
delta_nextbelow_seed7,stationary,7,admissible_bridge,1.0,delta_nextbelow,step_size,0.049999999999999996,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,20,0.0,1.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,20,20,20,21,0,20,0,1,0.050000000000000044,0.9999999999999999,0.9499999999999998,0.9999999999999999,0.9499999999999998,0.0,0.050000000000000044,1,11,False,,False,False,1.0,False,False,,False,76053ecec083013bc206d5c8b75c5e18e63da73e0099a7bba41a62fe0d20bc8a,7ce8a080defe94f2b157a4c7ef0874790805f2ff181a55f40fc8916a1f46faa0,100
delta_nextabove_seed7,stationary,7,admissible_bridge,1.0,delta_nextabove,step_size,0.05000000000000001,,,11,0.0,10,3,True,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,,0,0,20,0.0,1.0,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,20,20,20,21,0,20,0,1,0.050000000000000044,1.0,0.95,1.0,0.95,0.0,0.050000000000000044,1,13,False,,False,False,1.0,False,False,,True,7057310ca84ab2fe10d6d6df3671d7536e55f226ace8ca0fef0cf3eeaf57d9ea,567d93e8d0a831b6d4a8d6cb01bfd191663f4dcf6464ea481c7ace641d27a694,100
bridge_valid04_seed7,stationary,7,admissible_bridge,1.0,bridge_valid04,broken_bridge,,0.0,,11,0.0,10,3,True,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,0,25,0,1.0,0.0,1,1,1,0,1,1,0,0,True,1,24,28,24,24,False,0,120,120,E_relapse,not_available,not_available,25,25,20,21,25,0,25,,,,,1.0,0.96,1.0,0.040000000000000036,,0,True,25,True,True,0.0,True,True,25,True,0f1244efbd54cdbfcdcd10ff1f8bb32bd0dbc336246bfbbd250c1c63e97c2788,961a8a18520d7ff022e0df2c4f07c74580e3753e8d5b61cd057127c144c47495,95
broken_early_seed7,stationary,7,admissible_bridge,1.0,broken_early,broken_bridge,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.040000000000000036,0.040000000000000036,-0.96,1.0,,0,1,23,0.041666666666666664,0.9583333333333334,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,24,24,20,21,1,23,1,2,0.07999999999999996,0.96,0.9099999999999999,1.0,0.96,0.040000000000000036,0.07999999999999996,2,1,False,,False,False,0.96,False,False,,True,78b4fb9b9719b0431333398f4f9747f8f5c3ec340e6e6c6de06c7800d9675479,e1459b346649d88bd07fddca16fbdcb9ca7c039dbcae02a72c9da2e6381a2237,96
broken_middle_seed7,stationary,7,admissible_bridge,1.0,broken_middle,broken_bridge,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.48,0.48,-0.52,1.0,,0,12,12,0.5,0.5,1,1,1,0,1,1,1,0,False,0,,,,,True,1,120,120,A_genuine_revision_candidate,not_available,not_available,24,24,20,21,12,12,12,13,0.08000000000000007,0.52,0.47000000000000003,1.0,0.96,0.48,0.08000000000000007,13,1,False,,False,False,0.52,False,False,,True,4590eca1d35ad91774047eac153857561f5b347a285b67a47dc8b8727974f5c3,6ea392c095a55525b45c8140054c445121d918182b7f5520512d20210930bac4,96
broken_late_seed7,stationary,7,admissible_bridge,1.0,broken_late,broken_bridge,,,,11,0.0,10,3,True,1.0,0.0,0.0,0.92,0.9200000000000002,-0.07999999999999985,1.0,,0,23,1,0.9583333333333334,0.041666666666666664,1,1,1,0,1,1,0,0,False,0,,,,,False,0,120,120,mixed_or_partial_escape,not_available,not_available,24,24,20,21,23,1,23,24,0.07999999999999996,0.07999999999999996,0.029999999999999957,1.0,0.96,0.92,0.07999999999999996,24,1,False,,False,False,0.07999999999999996,False,False,,True,2f5841a8c97a7383a63dbf533882fcb7b47993b995df84a1b780ea3a4cbbf6ac,a13d26d65cddd0b79e39e0191ea01ff3ca5a7e9f2f9931522fc32cfb0dc92cdd,96
