graph_id,tol,step,belief_before,input_value,accepted,belief_after
uniform_n40_tol0.05,0.05,25,0.175,0.125,True,0.125
uniform_n40_tol0.05,0.05,26,0.125,0.075,True,0.075
uniform_n40_tol0.05,0.05,27,0.075,0.025,True,0.025
uniform_n40_tol0.05,0.05,28,0.025,0.0,True,0.0
uniform_n40_tol0.051,0.051,1,1.0,0.95,True,0.95
uniform_n40_tol0.051,0.051,2,0.95,0.9,True,0.9
uniform_n40_tol0.051,0.051,3,0.9,0.85,True,0.85
uniform_n40_tol0.051,0.051,4,0.85,0.8,True,0.8
uniform_n40_tol0.051,0.051,5,0.8,0.75,True,0.75
uniform_n40_tol0.051,0.051,6,0.75,0.7,True,0.7
uniform_n40_tol0.051,0.051,7,0.7,0.65,True,0.65
uniform_n40_tol0.051,0.051,8,0.65,0.6,True,0.6
uniform_n40_tol0.051,0.051,9,0.6,0.55,True,0.55
uniform_n40_tol0.051,0.051,10,0.55,0.5,True,0.5
uniform_n40_tol0.051,0.051,11,0.5,0.45,True,0.45
uniform_n40_tol0.051,0.051,12,0.45,0.4,True,0.4
uniform_n40_tol0.051,0.051,13,0.4,0.35,True,0.35
uniform_n40_tol0.051,0.051,14,0.35,0.3,True,0.3
uniform_n40_tol0.051,0.051,15,0.3,0.25,True,0.25
uniform_n40_tol0.051,0.051,16,0.25,0.2,True,0.2
uniform_n40_tol0.051,0.051,17,0.2,0.15,True,0.15
uniform_n40_tol0.051,0.051,18,0.15,0.1,True,0.1
uniform_n40_tol0.051,0.051,19,0.1,0.05,True,0.05
uniform_n40_tol0.051,0.051,20,0.05,0.0,True,0.0
uniform_n80_tol0.049,0.049,1,1.0,0.9625,True,0.9625
uniform_n80_tol0.049,0.049,2,0.9625,0.925,True,0.925
uniform_n80_tol0.049,0.049,3,0.925,0.8875,True,0.8875
uniform_n80_tol0.049,0.049,4,0.8875,0.85,True,0.85
uniform_n80_tol0.049,0.049,5,0.85,0.8125,True,0.8125
uniform_n80_tol0.049,0.049,6,0.8125,0.775,True,0.775
uniform_n80_tol0.049,0.049,7,0.775,0.7375,True,0.7375
uniform_n80_tol0.049,0.049,8,0.7375,0.7,True,0.7
uniform_n80_tol0.049,0.049,9,0.7,0.6625,True,0.6625
uniform_n80_tol0.049,0.049,10,0.6625,0.625,True,0.625
uniform_n80_tol0.049,0.049,11,0.625,0.5875,True,0.5875
uniform_n80_tol0.049,0.049,12,0.5875,0.55,True,0.55
uniform_n80_tol0.049,0.049,13,0.55,0.5125,True,0.5125
