run_id,regime,seed,baseline_steps,phase,probe,returned_belief,passed
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,12,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,12,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,13,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,13,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,13,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,14,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,14,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,14,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,15,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,15,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,15,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,16,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,16,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,16,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,17,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,17,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,17,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,18,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,18,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,18,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,19,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,19,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,19,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,20,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,20,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,20,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,21,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,21,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,21,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,22,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,22,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,22,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,23,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,23,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,23,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,24,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,24,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,24,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,25,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,25,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,25,0.025,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,26,0,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,26,0.0125,0.0,True
descending_bridge_7_C1_ordinary_reference_na,descending_bridge,7,120,26,0.025,0.0,True
